obsno,participant.code,participant.time_started,participant.payoff,compnumber,buckser,volatility,data,exit.price,round,TotalIndex,Index
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,96.904,35.79,1,0,1.0
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,94.957,35.79,1,1,2.0
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,97.185,35.79,1,2,3.0
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,95.166,35.79,1,3,4.0
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,93.617,35.79,1,4,5.0
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,95.627,35.79,1,5,6.0
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,97.114,35.79,1,6,7.0
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,100.913,35.79,1,7,8.0
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,101.942,35.79,1,8,9.0
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,101.319,35.79,1,9,10.0
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,102.164,35.79,1,10,11.0
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,101.837,35.79,1,11,12.0
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,102.907,35.79,1,12,13.0
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,100.423,35.79,1,13,14.0
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,100.955,35.79,1,14,15.0
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,99.968,35.79,1,15,16.0
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,101.462,35.79,1,16,17.0
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,102.489,35.79,1,17,18.0
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,105.606,35.79,1,18,19.0
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,105.77,35.79,1,19,20.0
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,102.614,35.79,1,20,21.0
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,106.823,35.79,1,21,22.0
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,104.889,35.79,1,22,23.0
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,105.421,35.79,1,23,24.0
23,03uv6wi9,2021-11-08 10:02:15.617982+00:00,111,w326f36h,0.02,0.3,107.337,35.79,1,24,25.0
